number,base_treaty,name,year,entry_type,full_fta,standards,investments,services,procurement,competition,iprs,depth_index,depth_rasch,flexrigid,flexescape,enforce,enforce01
35,35,Argentina Chile,1991,base_treaty,0,1,0,0,0,1,0,2,-0.422894455,2,3,0,0
350,350,EC Switzerland Liechtenstein,1972,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,1,4,0,0
351,351,EC Syria,1977,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,2,4,0,0
352,352,EC Tunisia,1976,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,1,2,0,0
353,353,EC Tunisia Association Agreement,1969,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
354,354,EC Tunisia Euro-Med Association Agreement,1995,base_treaty,1,1,0,1,0,1,0,4,0.703520501,3,4,5,3
355,355,EC Turkey,1995,base_treaty,1,1,0,0,0,1,1,4,0.452592045,2,3,6,4
356a,357,EC Turkey Association Agreement (Ankara Agreement) (consolidated),1970,consolidated,1,0,0,0,0,1,0,2,-0.59242527,1,4,3,3
357,357,EC Turkey Association Agreement (Ankara Agreement),1963,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,3,3
358a,356,EC Turkey Additional Protocol (consolidated),1973,consolidated,1,0,0,0,0,1,0,2,-0.59242527,1,4,3,3
359,359,EC Yugoslavia,1980,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,2,0,0
36,36,Argentina Colombia,1988,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
360,360,Economic and Monetary Community of Central Africa (CEMAC),1994,base_treaty,1,1,0,1,0,0,0,3,0.230177781,0,2,3,2
361,361,Economic and Monetary Community of Central Africa (CEMAC) revised,2008,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
363,363,Economic Community of Central African States (ECCAS-CEEAC),1983,base_treaty,1,0,1,1,0,0,0,3,-0.155378409,0,2,3,2
366,366,Economic Community Of West African States (ECOWAS),1975,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,1,0,0
367,367,Economic Community Of West African States (ECOWAS),1993,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,1,2,3,2
370,370,Economic Cooperation Organization (ECO) Preferences,1991,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
371,371,Economic Cooperation Organization Trade Agreement (ECOTA),2003,base_treaty,0,0,0,0,0,0,0,0,-0.155378409,0,4,0,0
372,372,Ecuador Mexico,1983,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,1,2,0,0
373,373,Ecuador Paraguay,1994,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,1,1,0,0
374,374,Ecuador Uruguay,1994,base_treaty,0,1,0,0,0,0,0,1,-0.592425271,1,3,0,0
375,375,EFTA,1960,base_treaty,1,1,0,0,0,0,0,2,-0.155378409,1,3,0,0
376,376,EFTA Egypt,2007,base_treaty,1,1,1,1,0,1,1,6,0.817093568,3,4,7,4.5
377,377,EFTA Estonia,1995,base_treaty,1,1,1,0,0,0,1,4,0.871911264,1,4,7,4.5
379,379,EFTA Gulf Cooperation Council (GCC),2009,base_treaty,1,1,0,1,1,1,1,6,0.978712347,3,4,9,5.25
380,380,EFTA Hungary,1993,base_treaty,1,1,0,0,0,0,0,2,-0.044941779,3,4,4,2.5
382,382,EFTA Israel,1992,base_treaty,1,1,1,0,0,0,1,4,0.582967108,1,4,6,3.5
383,383,EFTA Jordan,2001,base_treaty,1,1,1,0,0,0,1,4,0.51918862,2,4,7,4.5
384,384,EFTA Korea,2005,base_treaty,1,1,1,1,0,1,1,6,1.394796147,5,4,9,5.25
385,385,EFTA Latvia,1995,base_treaty,1,1,1,0,0,0,1,4,0.761044193,1,4,5,4
386,386,EFTA Lebanon,2004,base_treaty,1,1,0,0,0,0,1,3,0.644249863,3,4,7,4.5
388,388,EFTA Lithuania,1995,base_treaty,1,1,0,0,0,0,1,3,0.582967108,1,4,5,4
389,389,EFTA Macedonia,2000,base_treaty,1,1,0,0,0,0,1,3,0.644249863,2,4,5,4
39,39,Argentina Cuba,1999,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
390,390,EFTA Mexico,2000,base_treaty,1,1,1,1,1,1,1,7,1.67546434,4,4,8,4.25
391,391,EFTA Morocco,1997,base_treaty,1,1,0,0,0,0,1,3,0.871911264,1,4,5,4
392,392,EFTA Poland,1992,base_treaty,1,1,0,0,0,0,1,3,0.452592045,2,4,0,0
393,393,EFTA Romania,1992,base_treaty,1,1,0,0,0,0,1,3,0.382661686,2,4,0,0
394,394,EFTA Serbia,2009,base_treaty,1,1,1,0,1,0,1,5,0.871911264,6,3,6,4
395a,375,EFTA (consolidated),2001,consolidated,1,1,1,1,0,1,1,6,1.448422211,3,3,7,4.5
396,396,EFTA Singapore,2002,base_treaty,1,1,1,1,0,1,1,6,1.394796147,5,3,8,4.25
398,398,EFTA Slovenia,1995,base_treaty,1,1,1,0,0,0,1,4,0.582967108,1,4,5,4
399,399,EFTA Southern African Customs Union (SACU),2006,base_treaty,1,1,1,0,0,0,1,4,0.644249863,3,4,7,4
4,4,Agadir Agreement,2004,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,1,2,3,3
40,40,Argentina Ecuador,1984,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,1,1,0,0
400,400,EFTA Spain,1979,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,1,2,0,0
401,401,EFTA Tunisia,2004,base_treaty,1,1,1,0,0,0,1,4,0.644249863,3,4,5,4
402,402,EFTA Turkey,1991,base_treaty,1,1,0,0,0,0,1,3,0.308776852,2,4,0,0
404,404,Egypt Jordan,1998,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,3,4,0,0
405,405,Egypt Jordan,1996,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,2,4,0,0
406,406,Egypt Jordan,1967,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,0,0
41,41,Argentina Ecuador,1993,base_treaty,0,1,0,0,0,0,0,1,-0.802056364,0,2,0,0
410,410,Egypt Morocco,1998,base_treaty,0,1,0,0,0,0,0,1,-0.592425271,3,4,0,0
412,412,Egypt PLO,1998,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
413,413,Egypt Syria,1991,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
415,415,Egypt Turkey,2005,base_treaty,1,1,0,0,0,1,1,4,0.644249863,3,4,5,4
416,416,El Salvador Honduras Taiwan,2007,base_treaty,1,1,1,1,0,0,0,4,1.134669988,5,4,8,4.25
417,417,El Salvador Mexico,1986,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,1,1,0,0
418,418,El Salvador Nicaragua Free Trade Area,1951,base_treaty,1,0,1,0,0,0,0,2,-1.079971465,0,2,2,2
419,419,El Salvador Panama,1970,base_treaty,0,0,0,0,0,1,0,1,-0.592425271,0,0,3,2.5
421,421,El Salvador Venezuela,1986,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
422,422,Equatorial Customs Union,1959,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
424,424,Estonia Faroe Islands,1997,base_treaty,1,1,0,0,0,0,0,2,0.308776852,2,4,0,0
425,425,Estonia Finland,1992,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,1,0,0
426,426,Estonia Hungary,1998,base_treaty,1,1,0,0,0,0,0,2,0.230177781,2,4,0,0
427,427,Estonia Norway,1992,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,1,1,0,0
428,428,Estonia Slovakia,1996,base_treaty,1,1,0,0,0,0,0,2,0.145911621,2,4,0,0
429,429,Estonia Slovenia,1996,base_treaty,1,1,0,0,0,0,0,2,0.51918862,2,4,0,0
43,43,Argentina Mexico,1986,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,2,0,0
430,430,Estonia Sweden,1991,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,1,0,0
431,431,Estonia Switzerland,1992,base_treaty,1,1,0,0,0,0,1,3,0.145911621,2,4,0,0
432,432,Estonia Turkey,1997,base_treaty,1,1,1,0,0,0,1,4,0.382661686,2,4,0,0
433,433,Estonia Ukraine,1995,base_treaty,1,0,0,0,0,0,1,2,-0.279783415,1,4,0,0
434,434,Eurasian Economic Community (EAEC),1999,base_treaty,1,0,0,1,0,0,0,2,-0.279783415,0,0,3,2
436,436,European Coal and Steel Community,1951,base_treaty,0,0,0,0,0,0,0,0,-0.422894455,0,0,3,2
437,437,European Economic Area (EEA),1992,base_treaty,1,1,1,0,0,1,1,5,0.644249863,1,3,0,0
438,438,Faroe Islands Iceland,1992,base_treaty,1,1,0,0,1,0,0,3,-0.155378409,1,4,0,0
439,439,Faroe Islands Iceland,2005,base_treaty,1,1,0,0,0,0,0,2,0.382661686,1,1,0,0
440,440,Faroe Islands Norway,1992,base_treaty,1,1,0,0,0,0,0,2,-0.044941779,1,4,0,0
441,441,Faroe Islands Poland,1998,base_treaty,1,1,0,0,0,0,0,2,0.308776852,2,4,0,0
443,443,Faroe Islands Switzerland,1994,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,1,1,0,0
445,445,EFTA Finland,1961,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
446,446,Finland German Democratic Republic,1975,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,0,0,0
447,447,Finland Hungary,1974,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,1,0,0
448,448,Finland Latvia,1992,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,1,0,0
449,449,Finland Lithuania,1992,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,1,0,0
45,45,Argentina Paraguay,1989,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
450,450,Finland Poland,1976,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,1,0,0
452,452,France Monaco,1963,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
453,453,France Tunisia Customs Union Convention,1955,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,1,0,0
454,454,Georgia Kazakhstan,1997,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,0,0,0
455,455,Georgia Russia,1994,base_treaty,1,0,0,0,0,0,0,1,-0.279783415,0,2,0,0
456,456,Georgia Turkey,2007,base_treaty,1,1,0,0,0,1,1,4,0.644249863,3,4,5,4
457,457,Georgia Turkmenistan,1996,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,2,2,2
458,458,Georgia Ukraine,1995,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,1,0,0
46,46,Argentina Peru,1988,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
460,460,Ghana Upper Volta Trade Agreement,1961,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
461,461,Global System of Trade Preferences (GSTP),1988,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,4,0,0
462,462,Greater Arab Free Trade Agreement,1997,base_treaty,1,0,1,0,0,0,0,2,-1.079971465,3,4,0,0
466,466,GUAM/GUUAM Organization for Democracy and Economic Development,2002,base_treaty,1,1,0,0,0,0,0,2,0.054748942,2,2,0,0
467,467,Guatemala Mexico,1985,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
468,468,Guatemala Mexico,2000,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,0,0
469,469,Guatemala Panama,1974,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,0,2,2,2
47,47,Argentina Uruguay,2003,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
470,470,Guatemala Taiwan,2005,base_treaty,1,1,1,1,0,0,1,5,1.237837553,6,3,8,4.25
471,471,Guatemala Venezuela,1985,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
473,473,Gulf Cooperation Council (GCC),1981,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
474,474,Gulf Cooperation Council (GCC),2001,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,0,3,2
475,475,Gulf Cooperation Council (GCC) Singapore,2008,base_treaty,1,1,0,1,1,0,0,4,0.644249863,3,4,8,4.25
476,476,Guyana Venezuela,1990,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,1,1,0,0
477,477,Honduras Mexico,1985,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,3,3,0,0
478,478,Honduras Panama,1973,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,2,2
48,48,Argentina Venezuela,1986,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,1,1,0,0
480,480,Honduras Venezuela,1986,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
481,481,Hungary Israel,1997,base_treaty,1,1,0,0,1,0,0,3,0.308776852,2,4,0,0
482,482,Hungary Latvia,1999,base_treaty,1,1,0,0,0,0,0,2,0.145911621,2,4,0,0
483,483,Hungary Lithuania,1998,base_treaty,1,1,0,0,0,0,0,2,0.145911621,2,4,0,0
487,487,Hungary Slovenia,1994,base_treaty,1,1,0,0,0,0,0,2,-0.155378409,2,4,0,0
488,488,Hungary Turkey,1997,base_treaty,1,1,0,0,0,0,1,3,0.145911621,2,4,0,0
489,489,India Korea,2009,base_treaty,1,1,1,1,0,1,1,6,1.186221974,6,4,8,4.25
49,49,Argentina Venezuela,1992,base_treaty,0,1,0,0,0,0,0,1,-1.501387199,3,4,0,0
490,490,India MERCOSUR,2004,base_treaty,0,1,0,0,0,0,0,1,-0.044941779,5,3,8,4.25
491,491,India Nepal,1991,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,0,0
492,492,India Nepal,2009,base_treaty,0,1,0,0,0,0,0,1,-1.079971465,1,1,0,0
493,493,India Singapore,2005,base_treaty,1,1,1,1,0,0,0,4,1.083045446,5,4,7,3.75
494,494,India Sri Lanka,1998,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,2,4,2,2
495,495,Indonesia Japan,2007,base_treaty,1,0,1,1,0,1,1,5,1.13467,5,4,8,4.25
496,496,Inter-Arab Trade Agreement,1981,base_treaty,0,0,1,0,0,0,0,1,-1.079971465,0,0,0,0
497,497,Iran Pakistan,2004,base_treaty,0,1,0,0,0,0,0,1,-0.802056364,0,3,4,3.5
498,498,Iran Syria,2006,base_treaty,0,1,0,0,0,0,0,1,-0.592425271,0,3,0,0
5,5,Albania Bosnia and Herzegovina,2003,base_treaty,1,1,1,0,0,0,1,4,0.761044193,2,4,1,1
500,500,Iraq Jordan,1953,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
504,504,Iraq UAE,1977,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
505,505,Ireland UK Free Trade Area,1965,base_treaty,1,0,0,0,0,0,0,1,-0.422894455,2,4,0,0
506,506,Israel Jordan,1995,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,1,2,0,0
508,508,Israel MERCOSUR,2007,base_treaty,1,1,0,0,0,0,0,2,0.308776852,5,4,7,4
509,509,Israel Mexico,2000,base_treaty,1,1,0,0,1,1,1,5,0.644249863,6,4,8,4.25
51,51,Armenia Estonia,2002,base_treaty,0,1,0,0,0,0,0,1,-0.59242527,2,2,0,0
510,510,Israel PLO,1994,base_treaty,1,1,0,1,0,0,0,3,-0.279783415,0,0,2,2
511,511,Israel Poland,1997,base_treaty,1,1,0,0,0,0,0,2,0.230177781,2,4,5,3.5
512,512,Israel Romania,2001,base_treaty,1,1,0,0,0,0,0,2,0.308776852,2,4,0,0
513,513,Israel Slovakia,1996,base_treaty,1,1,0,0,0,0,0,2,0.308776852,2,4,3,3
514,514,Israel Slovenia,1998,base_treaty,1,1,0,0,0,0,0,2,0.145911621,2,4,3,3
515,515,Israel Turkey,1996,base_treaty,1,1,0,1,0,0,0,3,0.452592045,2,4,4,3.5
516,516,Israel US,1985,base_treaty,1,1,0,1,1,0,1,5,0.145911621,1,2,6,3.5
517,517,Japan Malaysia,2005,base_treaty,1,1,1,1,0,1,1,6,1.503075917,5,4,8,4.25
518,518,Japan Mexico,2004,base_treaty,1,1,1,1,1,1,1,7,1.394796147,5,4,8,4.25
519,519,Japan Philippines,2006,base_treaty,1,1,1,1,0,1,1,6,1.237837547,5,4,8,4.25
52,52,Armenia Georgia,1995,base_treaty,1,1,0,0,0,0,0,2,-0.802056364,0,0,0,0
520,520,Japan Singapore,2002,base_treaty,1,1,1,1,1,1,1,7,1.13467,6,4,8,4.25
521,521,Japan Switzerland,2009,base_treaty,1,1,1,1,0,1,1,6,2.012065418,4,3,8,4.25
522,522,Japan Thailand,2007,base_treaty,1,1,1,1,0,1,1,6,1.558948891,5,4,8,4.25
523,523,Japan Vietnam,2008,base_treaty,1,1,1,1,0,1,1,6,1.34194508,5,4,8,4.25
524,524,Jordan Kuwait,2001,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,3,3,0,0
525,525,Jordan Kuwait,1986,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,0,0,0
526,526,Jordan Lebanon,1992,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
527,527,Jordan Lebanon,2002,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,1,1,0,0
528,528,Jordan Libya,1992,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
529,529,Jordan Morocco,1994,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,2,0,0
53,53,Armenia Iran,1995,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,2,2
530,530,Jordan Morocco,1998,base_treaty,1,1,0,0,0,0,0,2,-0.802056364,3,4,0,0
531,531,Jordan PLO,1995,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,0,0,0
532,532,Jordan Qatar,1980,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
533,533,Jordan Saudi Arabia,1962,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
534,534,Jordan Singapore,2004,base_treaty,1,1,1,1,0,0,0,4,0.382661686,7,4,9,5.25
535,535,Jordan Sudan,2003,base_treaty,1,1,0,0,0,0,0,2,-0.592425271,0,3,0,0
536,536,Jordan Sudan,1966,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
537,537,Jordan Syria,2001,base_treaty,1,1,0,0,0,0,0,2,0.054748942,1,3,0,0
538,538,Jordan Syria,1965,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
539,539,Jordan Syria,1975,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
54,54,Armenia Kazakhstan,1999,base_treaty,1,1,0,0,0,0,0,2,-0.802056364,0,2,0,0
540,540,Jordan Tunisia,1998,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,3,4,0,0
541,541,Jordan Turkey,2009,base_treaty,1,1,0,0,0,1,0,3,0.452592045,3,4,5,3.75
542,542,Jordan UAE,2000,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,3,3,0,0
543,543,Jordan US,2000,base_treaty,1,0,0,1,0,0,1,3,0.817093568,4,3,7,4.5
544,544,Kazakhstan Kyrgyzstan,1995,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,2,0,0
545,545,Kazakhstan Moldova,1995,base_treaty,1,0,0,0,0,0,0,1,-0.736250083,0,1,2,2
546,546,Kazakhstan Russia,1992,base_treaty,1,0,0,0,0,0,0,1,-0.192351228,0,2,0,0
548,548,Kazakhstan Ukraine,1994,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,2,0,0
549,549,Kazakhstan Uzbekistan,1997,base_treaty,1,0,0,0,0,0,0,1,-0.736250083,1,2,0,0
55,55,Armenia Kyrgyzstan,1994,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,0,1,0,0
550,550,Korea Singapore,2005,base_treaty,1,1,1,1,1,1,1,7,1.448422211,5,4,8,4.25
551,551,Korea US,2007,base_treaty,1,1,1,1,1,1,1,7,1.937568277,6,3,8,4.25
554,554,Kuwait UAE,1972,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,0,0
555,555,Kyrgyzstan Moldova,1995,base_treaty,1,0,0,0,0,0,0,1,-0.422894455,0,1,0,0
556,556,Kyrgyzstan Russia,1992,base_treaty,1,0,0,0,0,0,0,1,-0.279783416,0,0,0,0
558,558,Kyrgyzstan Ukraine,1995,base_treaty,1,0,0,1,0,0,0,2,-0.422894455,0,2,0,0
559,559,Kyrgyzstan Uzbekistan,1996,base_treaty,1,0,0,0,0,0,0,1,-0.422894455,1,2,0,0
56,56,Armenia Moldova,1993,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,1,0,0
560,560,Laos Thailand,1991,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
561,561,Latin American Free Trade Area (LAFTA),1960,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,0,2,0,0
562,562,Latin American Integration Association (ALADI LAIA),1980,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,0,1,0,0
564,564,Latvia Norway,1992,base_treaty,1,1,1,0,0,0,0,3,-0.279783415,1,4,0,0
565,565,Latvia Poland,1997,base_treaty,1,1,1,0,0,0,1,4,0.644249863,3,4,0,0
566,566,Latvia Slovakia,1996,base_treaty,1,1,0,0,0,0,0,2,0.145911621,2,4,0,0
567,567,Latvia Slovenia,1996,base_treaty,1,1,1,0,0,0,1,4,0.382661686,2,4,0,0
568,568,Latvia Sweden,1992,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,1,4,0,0
569,569,Latvia Switzerland,1992,base_treaty,1,1,1,0,0,0,1,4,0.382661686,1,4,0,0
57,57,Armenia Russia,1992,base_treaty,1,0,0,0,0,0,0,1,-0.422894455,0,1,0,0
570,570,Latvia Turkey,1998,base_treaty,1,1,0,0,0,0,0,2,-0.155378409,3,4,0,0
574,574,Libya Morocco,1990,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
576,576,Lithuania Norway,1992,base_treaty,1,1,1,0,0,0,0,3,-0.279783415,1,4,0,0
577,577,Lithuania Poland,1996,base_treaty,1,1,1,0,0,0,0,3,0.382661686,2,4,2,2
578,578,Lithuania Slovakia,1996,base_treaty,1,1,0,0,0,0,0,2,0.230177781,2,4,0,0
579,579,Lithuania Slovenia,1996,base_treaty,1,1,1,0,0,0,0,3,0.582967108,2,4,2,2
580,580,Lithuania Sweden,1991,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,1,0,0
581,581,Lithuania Switzerland,1992,base_treaty,1,1,0,0,0,0,1,3,0.230177781,1,4,0,0
582,582,Lithuania Turkey,1997,base_treaty,1,1,1,0,0,0,0,3,0.308776852,2,4,0,0
584,584,Lome I,1975,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,0,2,5,4
585,585,Lome II,1979,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,3,3
586,586,Lome III,1984,base_treaty,0,0,1,1,0,1,0,3,-0.044941779,0,2,3,3
587,587,Lome IV,1989,base_treaty,0,0,1,1,0,1,0,3,-0.044941779,0,2,3,3
589,589,Macedonia Moldova,2004,base_treaty,1,1,0,0,0,0,0,2,0.230177781,2,4,0,0
59,59,Armenia Turkmenistan,1995,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,1,0,0
590,590,Macedonia Romania,2003,base_treaty,1,1,1,0,0,0,0,3,0.582921596,2,4,0,0
592,592,Macedonia Slovenia,1996,base_treaty,1,1,0,0,0,0,0,2,0.308776852,2,4,0,0
593,593,Macedonia Turkey,1999,base_treaty,1,1,1,0,0,0,0,3,0.308776852,2,4,0,0
594,594,Macedonia Ukraine,2001,base_treaty,1,1,0,0,0,0,1,3,0.51918862,2,4,0,0
595,595,Malawi Mozambique,2005,base_treaty,0,1,0,0,0,0,0,1,-0.155378409,3,3,0,0
598,598,Malaysia New Zealand,2009,base_treaty,1,1,1,1,0,1,1,6,1.394796147,6,3,8,4.25
599,599,Malaysia Pakistan,2007,base_treaty,1,1,1,1,0,0,0,4,1.237837547,6,4,6,3.25
6,6,Albania Bulgaria,2003,base_treaty,1,1,1,0,0,0,1,4,0.644249863,2,4,0,0
60,60,Armenia Ukraine,1994,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,0,0,0,0
600,600,Mano River Union,1973,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
601,601,Mauritania Morocco,1986,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
602,602,Mauritius Pakistan,2007,base_treaty,0,1,0,0,0,0,0,1,-0.279783415,1,3,0,0
603,603,Melanesian Spearhead Group (MSG),1993,base_treaty,0,0,0,0,0,0,0,0,-0.59242527,2,4,0,0
604,604,MERCOSUR,1991,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,3,1,3,2
606,606,MERCOSUR Peru,2005,base_treaty,0,1,1,0,0,1,0,3,0.51918862,5,3,9,5.25
607a,604,MERCOSUR (consolidated),1997,consolidated,1,1,0,1,0,0,0,3,0.51918862,5,2,3,2
608,608,MERCOSUR Southern African Customs Union (SACU),2004,base_treaty,0,1,0,0,0,0,0,1,-0.044941779,5,3,9,5.25
61,61,Arusha Agreement II,1969,base_treaty,0,1,1,1,0,0,0,3,-0.044941779,0,2,3,3
610,610,Mexico Nicaragua,1985,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
611,611,Mexico Nicaragua,1997,base_treaty,1,1,1,1,1,0,1,6,1.394796147,5,4,9,5.25
612,612,Mexico Northern Triangle,2000,base_treaty,1,1,1,1,0,0,1,5,1.558948891,6,4,8,4.25
613,613,Mexico Panama,1985,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
615,615,Mexico Uruguay,1986,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,1,0,0
616,616,Mexico Uruguay,2004,base_treaty,1,1,1,1,0,1,1,6,1.67546434,6,4,8,4.25
617,617,Moldova Romania,1994,base_treaty,1,1,0,0,0,0,0,2,-0.044941779,0,4,0,0
619,619,Moldova Serbia,2003,base_treaty,1,1,0,0,0,0,0,2,0.145911621,0,4,0,0
62,62,Asia Pacific Trade Agreement (Bangkok Agreement) amended,2005,base_treaty,0,1,0,0,0,0,0,1,-0.155378409,2,4,0,0
621,621,Moldova Ukraine,2003,base_treaty,1,1,0,0,0,0,1,3,0.054748942,3,3,0,0
624,624,Montenegro Turkey,2008,base_treaty,1,1,1,0,1,0,1,5,0.817093568,3,4,0,0
625,625,Morocco Tunisia,1999,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,2,4,0,0
626,626,Morocco Turkey,2004,base_treaty,1,1,0,0,0,0,1,3,0.644249863,3,3,5,3.5
627,627,Morocco UAE,2001,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,2,2,0,0
628,628,Morocco US,2004,base_treaty,1,1,1,1,1,0,1,6,1.800520693,5,3,9,4.5
63,63,Association of Caribbean States,1994,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
630,630,Namibia Zimbabwe,1992,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,3,0,0
631,631,New Zealand Singapore,2000,base_treaty,1,1,1,1,1,1,0,6,1.394796147,4,4,8,4.75
632,632,New Zealand Thailand,2005,base_treaty,1,1,1,0,0,1,1,5,1.031085227,6,3,8,4.25
633,633,Nicaragua Panama,1973,base_treaty,0,0,0,0,0,0,0,0,-0.802056364,0,2,2,2
634,634,Nicaragua Taiwan,2006,base_treaty,1,1,1,1,0,1,1,6,1.616314035,6,3,8,4.75
